Question,Answer,Role,Topic,Difficulty,Seniority,Stage,Source,Question_Type,Competency_Area,Adaptive_Level,Is_Final_Question,Embedding_Text
Bagaimana Anda menghadapi masukan yang tidak Anda setujui?,"Saat menghadapi konflik, saya mendekatinya dengan tenang dan mencoba memahami semua sudut pandang sebelum mencari solusi bersama. Bagaimana Anda menghadapi masukan yang tidak Anda setujui?",Product Manager,Conflict Resolution,Hard,Intermediate,Opening,HR_Dataset,Behavioral,General Engineering,3,True,"Role: Product Manager. Stage: Opening. Level: 3. Type: Behavioral. Competency: General Engineering. Question: How do you deal with feedback that you disagree with?. Ideal Answer: When faced with conflict, I approach it calmly and try to understand all perspectives before finding a solution together. How do you deal with feedback that you disagree with?"
Bagaimana Anda mengatur dan memprioritaskan tugas harian Anda?,Saya mengikuti alur kerja terstruktur dan menggunakan alat seperti Jira/Trello/Notion untuk mengelola tugas saya secara efisien. Bagaimana Anda mengatur dan memprioritaskan tugas harian Anda?,Product Manager,Work Style,Medium,Intermediate,Opening,HR_Dataset,Technical Knowledge,General Engineering,2,False,Role: Product Manager. Stage: Opening. Level: 2. Type: Technical Knowledge. Competency: General Engineering. Question: How do you organize and prioritize your daily tasks?. Ideal Answer: I follow a structured workflow and use tools like Jira/Trello/Notion to manage my tasks efficiently. How do you organize and prioritize your daily tasks?
Apakah Anda lebih suka bekerja mandiri atau dalam tim? Mengapa?,Saya mengikuti alur kerja terstruktur dan menggunakan alat seperti Jira/Trello/Notion untuk mengelola tugas saya secara efisien. Apakah Anda lebih suka bekerja mandiri atau dalam tim? Mengapa?,Product Manager,Work Style,Medium,Intermediate,Case Study,HR_Dataset,Technical Knowledge,General Engineering,2,False,Role: Product Manager. Stage: Case Study. Level: 2. Type: Technical Knowledge. Competency: General Engineering. Question: Do you prefer working independently or in teams? Why?. Ideal Answer: I follow a structured workflow and use tools like Jira/Trello/Notion to manage my tasks efficiently. Do you prefer working independently or in teams? Why?
Apa yang memotivasi Anda untuk datang bekerja setiap hari?,Saya termotivasi oleh tantangan dan peluang untuk berkembang baik secara pribadi maupun profesional. Apa yang memotivasi Anda untuk datang bekerja setiap hari?,Product Manager,Motivation,Hard,Intermediate,Case Study,HR_Dataset,Technical Knowledge,General Engineering,3,False,Role: Product Manager. Stage: Case Study. Level: 3. Type: Technical Knowledge. Competency: General Engineering. Question: What motivates you to come to work every day?. Ideal Answer: I'm motivated by challenges and the opportunity to grow both personally and professionally. What motivates you to come to work every day?
Ceritakan tentang saat Anda membimbing seseorang.,"Saya memimpin dengan memberi contoh dan mendorong komunikasi terbuka dan akuntabilitas. Suatu kali, saya memimpin tim melalui X dan kami mencapai Y. Ceritakan kepada saya saat Anda membimbing seseorang.",Product Manager,Leadership,Hard,Intermediate,Case Study,HR_Dataset,Leadership,General Engineering,3,False,"Role: Product Manager. Stage: Case Study. Level: 3. Type: Leadership. Competency: General Engineering. Question: Tell me about a time you mentored someone.. Ideal Answer: I lead by example and encourage open communication and accountability. One time, I led a team through X and we achieved Y. Tell me about a time you mentored someone."
"Menurut Anda, apa yang dimaksud dengan pemimpin yang baik?","Saya memimpin dengan memberi contoh dan mendorong komunikasi terbuka dan akuntabilitas. Suatu kali, saya memimpin tim melalui X dan kami mencapai Y. Menurut Anda, apa yang dimaksud dengan pemimpin yang baik?",Product Manager,Leadership,Medium,Intermediate,Case Study,HR_Dataset,Leadership,General Engineering,2,False,"Role: Product Manager. Stage: Case Study. Level: 2. Type: Leadership. Competency: General Engineering. Question: What makes a good leader in your opinion?. Ideal Answer: I lead by example and encourage open communication and accountability. One time, I led a team through X and we achieved Y. What makes a good leader in your opinion?"
Bagaimana Anda memastikan produktivitas saat bekerja jarak jauh?,Saya mengikuti alur kerja terstruktur dan menggunakan alat seperti Jira/Trello/Notion untuk mengelola tugas saya secara efisien. Bagaimana Anda memastikan produktivitas saat bekerja jarak jauh?,Product Manager,Work Style,Hard,Intermediate,Case Study,HR_Dataset,Technical Knowledge,General Engineering,3,False,Role: Product Manager. Stage: Case Study. Level: 3. Type: Technical Knowledge. Competency: General Engineering. Question: How do you ensure productivity when working remotely?. Ideal Answer: I follow a structured workflow and use tools like Jira/Trello/Notion to manage my tasks efficiently. How do you ensure productivity when working remotely?
Jelaskan saat Anda memimpin sebuah proyek atau tim.,"Saya memimpin dengan memberi contoh dan mendorong komunikasi terbuka dan akuntabilitas. Suatu kali, saya memimpin sebuah tim melalui X dan kami mencapai Y. Jelaskan saat Anda memimpin sebuah proyek atau tim.",Product Manager,Leadership,Hard,Intermediate,Case Study,HR_Dataset,Leadership,General Engineering,3,False,"Role: Product Manager. Stage: Case Study. Level: 3. Type: Leadership. Competency: General Engineering. Question: Describe a time you led a project or team.. Ideal Answer: I lead by example and encourage open communication and accountability. One time, I led a team through X and we achieved Y. Describe a time you led a project or team."
Di mana Anda melihat diri Anda dalam 5 tahun?,Tujuan jangka panjang saya adalah untuk tumbuh menjadi senior dimana saya dapat berkontribusi lebih strategis dan membimbing orang lain. Peran ini membawa saya lebih dekat pada hal itu. Di mana Anda melihat diri Anda dalam 5 tahun?,Product Manager,Career Goals,Easy,Intermediate,Opening,HR_Dataset,Technical Knowledge,General Engineering,1,False,Role: Product Manager. Stage: Opening. Level: 1. Type: Technical Knowledge. Competency: General Engineering. Question: Where do you see yourself in 5 years?. Ideal Answer: My long-term goal is to grow into a senior role where I can contribute more strategically and mentor others. This role brings me closer to that. Where do you see yourself in 5 years?
Bagaimana Anda menangani perselisihan dalam tim?,"Saya percaya komunikasi dan saling menghormati adalah kunci keberhasilan kolaborasi. Dalam satu proyek, kami mencapai X karena kerja tim yang hebat. Bagaimana Anda menangani perselisihan dalam tim?",Product Manager,Team Collaboration,Hard,Intermediate,Opening,HR_Dataset,Technical Knowledge,General Engineering,3,False,"Role: Product Manager. Stage: Opening. Level: 3. Type: Technical Knowledge. Competency: General Engineering. Question: How do you handle disagreements within a team?. Ideal Answer: I believe communication and mutual respect are key to successful collaboration. In one project, we achieved X because of great teamwork. How do you handle disagreements within a team?"
Apa aspirasi karir jangka panjang Anda?,Tujuan jangka panjang saya adalah untuk tumbuh menjadi senior dimana saya dapat berkontribusi lebih strategis dan membimbing orang lain. Peran ini membawa saya lebih dekat pada hal itu. Apa aspirasi karir jangka panjang Anda?,Product Manager,Career Goals,Hard,Intermediate,Opening,HR_Dataset,Technical Knowledge,General Engineering,3,False,Role: Product Manager. Stage: Opening. Level: 3. Type: Technical Knowledge. Competency: General Engineering. Question: What are your long-term career aspirations?. Ideal Answer: My long-term goal is to grow into a senior role where I can contribute more strategically and mentor others. This role brings me closer to that. What are your long-term career aspirations?
Apa harapan Anda dari kepemimpinan di sebuah perusahaan?,Saya berkembang dalam lingkungan yang kolaboratif dan transparan yang menghargai inovasi dan rasa hormat. Apa harapan Anda dari kepemimpinan di sebuah perusahaan?,Product Manager,Culture Fit,Medium,Intermediate,Case Study,HR_Dataset,Leadership,General Engineering,2,False,"Role: Product Manager. Stage: Case Study. Level: 2. Type: Leadership. Competency: General Engineering. Question: What are your expectations from leadership in a company?. Ideal Answer: I thrive in collaborative, transparent environments where innovation and respect are valued. What are your expectations from leadership in a company?"
Jelaskan saat Anda menangani situasi sulit secara profesional.,"Saat menghadapi konflik, saya mendekatinya dengan tenang dan mencoba memahami semua sudut pandang sebelum mencari solusi bersama. Jelaskan saat Anda menangani situasi sulit secara profesional.",Product Manager,Conflict Resolution,Medium,Intermediate,Opening,HR_Dataset,Behavioral,General Engineering,2,True,"Role: Product Manager. Stage: Opening. Level: 2. Type: Behavioral. Competency: General Engineering. Question: Describe a time you handled a difficult situation professionally.. Ideal Answer: When faced with conflict, I approach it calmly and try to understand all perspectives before finding a solution together. Describe a time you handled a difficult situation professionally."
Bagaimana tanggapan Anda ketika rekan satu tim tidak berusaha keras?,"Saat menghadapi konflik, saya mendekatinya dengan tenang dan mencoba memahami semua sudut pandang sebelum mencari solusi bersama. Bagaimana tanggapan Anda ketika rekan satu tim tidak berusaha keras?",Product Manager,Conflict Resolution,Easy,Intermediate,Opening,HR_Dataset,Behavioral,General Engineering,1,True,"Role: Product Manager. Stage: Opening. Level: 1. Type: Behavioral. Competency: General Engineering. Question: How do you respond when a teammate isn't pulling their weight?. Ideal Answer: When faced with conflict, I approach it calmly and try to understand all perspectives before finding a solution together. How do you respond when a teammate isn't pulling their weight?"
Bagaimana Anda menyelaraskan dengan nilai-nilai perusahaan kita?,Saya berkembang dalam lingkungan yang kolaboratif dan transparan yang menghargai inovasi dan rasa hormat. Bagaimana Anda menyelaraskan dengan nilai-nilai perusahaan kita?,Product Manager,Culture Fit,Medium,Intermediate,Opening,HR_Dataset,Technical Knowledge,General Engineering,2,False,"Role: Product Manager. Stage: Opening. Level: 2. Type: Technical Knowledge. Competency: General Engineering. Question: How do you align with our company values?. Ideal Answer: I thrive in collaborative, transparent environments where innovation and respect are valued. How do you align with our company values?"
Ceritakan pada saya saat Anda harus mempelajari sesuatu yang benar-benar baru dengan cepat.,"Saya selalu bersemangat untuk belajar dan menerima perubahan sebagai cara untuk menjadi lebih baik. Misalnya, saya pernah harus beralih ke tumpukan teknologi baru dan mengambilnya dengan cepat. Ceritakan pada saya saat Anda harus mempelajari sesuatu yang benar-benar baru dengan cepat.",Product Manager,Adaptability,Hard,Intermediate,Case Study,HR_Dataset,Technical Knowledge,General Engineering,3,False,"Role: Product Manager. Stage: Case Study. Level: 3. Type: Technical Knowledge. Competency: General Engineering. Question: Tell me about a time you had to learn something completely new quickly.. Ideal Answer: I'm always eager to learn and embrace change as a way to improve. For example, I once had to switch to a new tech stack and picked it up quickly. Tell me about a time you had to learn something completely new quickly."
Bagaimana Anda membangun kepercayaan dengan rekan satu tim baru?,"Saya percaya komunikasi dan saling menghormati adalah kunci keberhasilan kolaborasi. Dalam satu proyek, kami mencapai X karena kerja tim yang hebat. Bagaimana Anda membangun kepercayaan dengan rekan satu tim baru?",Product Manager,Team Collaboration,Easy,Intermediate,Case Study,HR_Dataset,Technical Knowledge,General Engineering,1,False,"Role: Product Manager. Stage: Case Study. Level: 1. Type: Technical Knowledge. Competency: General Engineering. Question: How do you build trust with new teammates?. Ideal Answer: I believe communication and mutual respect are key to successful collaboration. In one project, we achieved X because of great teamwork. How do you build trust with new teammates?"
Bagaimana Anda berkontribusi pada lingkungan tim yang positif?,Saya berkembang dalam lingkungan yang kolaboratif dan transparan yang menghargai inovasi dan rasa hormat. Bagaimana Anda berkontribusi pada lingkungan tim yang positif?,Product Manager,Culture Fit,Medium,Intermediate,Opening,HR_Dataset,Technical Knowledge,General Engineering,2,False,"Role: Product Manager. Stage: Opening. Level: 2. Type: Technical Knowledge. Competency: General Engineering. Question: How do you contribute to a positive team environment?. Ideal Answer: I thrive in collaborative, transparent environments where innovation and respect are valued. How do you contribute to a positive team environment?"
Ceritakan pada saya saat Anda bekerja dengan baik dalam tim.,"Saya percaya komunikasi dan saling menghormati adalah kunci keberhasilan kolaborasi. Dalam satu proyek, kami mencapai X karena kerja tim yang hebat. Ceritakan pada saya saat Anda bekerja dengan baik dalam tim.",Product Manager,Team Collaboration,Easy,Intermediate,Case Study,HR_Dataset,Technical Knowledge,General Engineering,1,False,"Role: Product Manager. Stage: Case Study. Level: 1. Type: Technical Knowledge. Competency: General Engineering. Question: Tell me about a time you worked well within a team.. Ideal Answer: I believe communication and mutual respect are key to successful collaboration. In one project, we achieved X because of great teamwork. Tell me about a time you worked well within a team."
Apa yang akan Anda lakukan jika Anda tidak setuju dengan manajer Anda?,"Saat menghadapi konflik, saya mendekatinya dengan tenang dan mencoba memahami semua sudut pandang sebelum mencari solusi bersama. Apa yang akan Anda lakukan jika Anda tidak setuju dengan manajer Anda?",Product Manager,Conflict Resolution,Hard,Intermediate,Case Study,HR_Dataset,Behavioral,General Engineering,3,False,"Role: Product Manager. Stage: Case Study. Level: 3. Type: Behavioral. Competency: General Engineering. Question: What would you do if you disagreed with your manager?. Ideal Answer: When faced with conflict, I approach it calmly and try to understand all perspectives before finding a solution together. What would you do if you disagreed with your manager?"
Ceritakan tentang konflik yang Anda alami dengan rekan kerja dan cara Anda menyelesaikannya.,"Saat menghadapi konflik, saya mendekatinya dengan tenang dan mencoba memahami semua sudut pandang sebelum mencari solusi bersama. Ceritakan tentang konflik yang Anda alami dengan rekan kerja dan cara Anda menyelesaikannya.",Product Manager,Conflict Resolution,Medium,Intermediate,Case Study,HR_Dataset,Problem Solving,General Engineering,2,False,"Role: Product Manager. Stage: Case Study. Level: 2. Type: Problem Solving. Competency: General Engineering. Question: Tell me about a conflict you had with a coworker and how you resolved it.. Ideal Answer: When faced with conflict, I approach it calmly and try to understand all perspectives before finding a solution together. Tell me about a conflict you had with a coworker and how you resolved it."
Peluang pertumbuhan seperti apa yang Anda cari?,Tujuan jangka panjang saya adalah untuk tumbuh menjadi senior dimana saya dapat berkontribusi lebih strategis dan membimbing orang lain. Peran ini membawa saya lebih dekat pada hal itu. Peluang pertumbuhan seperti apa yang Anda cari?,Product Manager,Career Goals,Medium,Intermediate,Case Study,HR_Dataset,Technical Knowledge,General Engineering,2,False,Role: Product Manager. Stage: Case Study. Level: 2. Type: Technical Knowledge. Competency: General Engineering. Question: What kind of growth opportunities are you looking for?. Ideal Answer: My long-term goal is to grow into a senior role where I can contribute more strategically and mentor others. This role brings me closer to that. What kind of growth opportunities are you looking for?
Bagaimana peran ini sesuai dengan jalur karier Anda?,Tujuan jangka panjang saya adalah untuk tumbuh menjadi senior dimana saya dapat berkontribusi lebih strategis dan membimbing orang lain. Peran ini membawa saya lebih dekat pada hal itu. Bagaimana peran ini sesuai dengan jalur karier Anda?,Product Manager,Career Goals,Medium,Intermediate,Case Study,HR_Dataset,Technical Knowledge,General Engineering,2,False,Role: Product Manager. Stage: Case Study. Level: 2. Type: Technical Knowledge. Competency: General Engineering. Question: How does this role fit into your career path?. Ideal Answer: My long-term goal is to grow into a senior role where I can contribute more strategically and mentor others. This role brings me closer to that. How does this role fit into your career path?
Peran apa yang biasanya Anda mainkan dalam pengaturan grup?,"Saya percaya komunikasi dan saling menghormati adalah kunci keberhasilan kolaborasi. Dalam satu proyek, kami mencapai X karena kerja tim yang hebat. Peran apa yang biasanya Anda mainkan dalam pengaturan grup?",Product Manager,Team Collaboration,Medium,Intermediate,Case Study,HR_Dataset,Technical Knowledge,General Engineering,2,False,"Role: Product Manager. Stage: Case Study. Level: 2. Type: Technical Knowledge. Competency: General Engineering. Question: What role do you usually play in group settings?. Ideal Answer: I believe communication and mutual respect are key to successful collaboration. In one project, we achieved X because of great teamwork. What role do you usually play in group settings?"
Bagaimana reaksi Anda terhadap perubahan prioritas yang tiba-tiba?,"Saya selalu bersemangat untuk belajar dan menerima perubahan sebagai cara untuk menjadi lebih baik. Misalnya, saya pernah harus beralih ke tumpukan teknologi baru dan mengambilnya dengan cepat. Bagaimana reaksi Anda terhadap perubahan prioritas yang tiba-tiba?",Product Manager,Adaptability,Easy,Intermediate,Case Study,HR_Dataset,Technical Knowledge,Frontend,1,False,"Role: Product Manager. Stage: Case Study. Level: 1. Type: Technical Knowledge. Competency: Frontend. Question: How do you react to sudden changes in priorities?. Ideal Answer: I'm always eager to learn and embrace change as a way to improve. For example, I once had to switch to a new tech stack and picked it up quickly. How do you react to sudden changes in priorities?"
Apa yang mendorong minat Anda terhadap bidang ini?,Saya termotivasi oleh tantangan dan peluang untuk berkembang baik secara pribadi maupun profesional. Apa yang mendorong minat Anda terhadap bidang ini?,Product Manager,Motivation,Hard,Intermediate,Case Study,HR_Dataset,Technical Knowledge,General Engineering,3,False,Role: Product Manager. Stage: Case Study. Level: 3. Type: Technical Knowledge. Competency: General Engineering. Question: What drives your passion for this field?. Ideal Answer: I'm motivated by challenges and the opportunity to grow both personally and professionally. What drives your passion for this field?
Keterampilan apa yang ingin Anda kembangkan dalam peran Anda selanjutnya?,Tujuan jangka panjang saya adalah untuk tumbuh menjadi senior dimana saya dapat berkontribusi lebih strategis dan membimbing orang lain. Peran ini membawa saya lebih dekat pada hal itu. Keterampilan apa yang ingin Anda kembangkan dalam peran Anda selanjutnya?,Product Manager,Career Goals,Medium,Intermediate,Case Study,HR_Dataset,Technical Knowledge,General Engineering,2,False,Role: Product Manager. Stage: Case Study. Level: 2. Type: Technical Knowledge. Competency: General Engineering. Question: What skills do you hope to develop in your next role?. Ideal Answer: My long-term goal is to grow into a senior role where I can contribute more strategically and mentor others. This role brings me closer to that. What skills do you hope to develop in your next role?
Bagaimana Anda tetap termotivasi selama tugas yang berulang?,Saya termotivasi oleh tantangan dan peluang untuk berkembang baik secara pribadi maupun profesional. Bagaimana Anda tetap termotivasi selama tugas yang berulang?,Product Manager,Motivation,Easy,Intermediate,Opening,HR_Dataset,Technical Knowledge,General Engineering,1,False,Role: Product Manager. Stage: Opening. Level: 1. Type: Technical Knowledge. Competency: General Engineering. Question: How do you stay motivated during repetitive tasks?. Ideal Answer: I'm motivated by challenges and the opportunity to grow both personally and professionally. How do you stay motivated during repetitive tasks?
Jelaskan saat Anda merasa tidak pada tempatnya dalam budaya tempat kerja.,Saya berkembang dalam lingkungan yang kolaboratif dan transparan yang menghargai inovasi dan rasa hormat. Jelaskan saat Anda merasa tidak pada tempatnya dalam budaya tempat kerja.,Product Manager,Culture Fit,Medium,Intermediate,Opening,HR_Dataset,Technical Knowledge,General Engineering,2,False,"Role: Product Manager. Stage: Opening. Level: 2. Type: Technical Knowledge. Competency: General Engineering. Question: Describe a time you felt out of place in a workplace culture.. Ideal Answer: I thrive in collaborative, transparent environments where innovation and respect are valued. Describe a time you felt out of place in a workplace culture."
Bagaimana Anda memotivasi orang lain dalam peran kepemimpinan?,"Saya memimpin dengan memberi contoh dan mendorong komunikasi terbuka dan akuntabilitas. Suatu kali, saya memimpin tim melalui X dan kami mencapai Y. Bagaimana Anda memotivasi orang lain dalam peran kepemimpinan?",Product Manager,Leadership,Medium,Intermediate,Case Study,HR_Dataset,Leadership,General Engineering,2,False,"Role: Product Manager. Stage: Case Study. Level: 2. Type: Leadership. Competency: General Engineering. Question: How do you motivate others in a leadership role?. Ideal Answer: I lead by example and encourage open communication and accountability. One time, I led a team through X and we achieved Y. How do you motivate others in a leadership role?"
Alat atau metode apa yang membantu Anda tetap teratur?,Saya mengikuti alur kerja terstruktur dan menggunakan alat seperti Jira/Trello/Notion untuk mengelola tugas saya secara efisien. Alat atau metode apa yang membantu Anda tetap teratur?,Product Manager,Work Style,Hard,Intermediate,Opening,HR_Dataset,Technical Knowledge,General Engineering,3,False,Role: Product Manager. Stage: Opening. Level: 3. Type: Technical Knowledge. Competency: General Engineering. Question: What tools or methods help you stay organized?. Ideal Answer: I follow a structured workflow and use tools like Jira/Trello/Notion to manage my tasks efficiently. What tools or methods help you stay organized?
Bagaimana Anda tetap mengikuti perkembangan tren industri?,"Saya selalu bersemangat untuk belajar dan menerima perubahan sebagai cara untuk menjadi lebih baik. Misalnya, saya pernah harus beralih ke tumpukan teknologi baru dan mengambilnya dengan cepat. Bagaimana Anda tetap mengikuti perkembangan tren industri?",Product Manager,Adaptability,Hard,Intermediate,Opening,HR_Dataset,Technical Knowledge,General Engineering,3,False,"Role: Product Manager. Stage: Opening. Level: 3. Type: Technical Knowledge. Competency: General Engineering. Question: How do you stay updated with industry trends?. Ideal Answer: I'm always eager to learn and embrace change as a way to improve. For example, I once had to switch to a new tech stack and picked it up quickly. How do you stay updated with industry trends?"
Mengapa Anda ingin bekerja di perusahaan kami?,Saya termotivasi oleh tantangan dan peluang untuk berkembang baik secara pribadi maupun profesional. Mengapa Anda ingin bekerja di perusahaan kami?,Product Manager,Motivation,Hard,Intermediate,Case Study,HR_Dataset,Technical Knowledge,General Engineering,3,False,Role: Product Manager. Stage: Case Study. Level: 3. Type: Technical Knowledge. Competency: General Engineering. Question: Why do you want to work at our company?. Ideal Answer: I'm motivated by challenges and the opportunity to grow both personally and professionally. Why do you want to work at our company?
Bagaimana peran ini sesuai dengan jalur karier Anda?,Tujuan jangka panjang saya adalah untuk tumbuh menjadi senior dimana saya dapat berkontribusi lebih strategis dan membimbing orang lain. Peran ini membawa saya lebih dekat pada hal itu. Bagaimana peran ini sesuai dengan jalur karier Anda?,QA Engineer,Career Goals,Medium,Intermediate,Opening,HR_Dataset,Technical Knowledge,General Engineering,2,False,Role: QA Engineer. Stage: Opening. Level: 2. Type: Technical Knowledge. Competency: General Engineering. Question: How does this role fit into your career path?. Ideal Answer: My long-term goal is to grow into a senior role where I can contribute more strategically and mentor others. This role brings me closer to that. How does this role fit into your career path?
Bagaimana Anda tetap mengikuti perkembangan tren industri?,"Saya selalu bersemangat untuk belajar dan menerima perubahan sebagai cara untuk menjadi lebih baik. Misalnya, saya pernah harus beralih ke tumpukan teknologi baru dan mengambilnya dengan cepat. Bagaimana Anda tetap mengikuti perkembangan tren industri?",QA Engineer,Adaptability,Medium,Intermediate,Opening,HR_Dataset,Technical Knowledge,General Engineering,2,False,"Role: QA Engineer. Stage: Opening. Level: 2. Type: Technical Knowledge. Competency: General Engineering. Question: How do you stay updated with industry trends?. Ideal Answer: I'm always eager to learn and embrace change as a way to improve. For example, I once had to switch to a new tech stack and picked it up quickly. How do you stay updated with industry trends?"
Jelaskan saat Anda merasa tidak pada tempatnya dalam budaya tempat kerja.,Saya berkembang dalam lingkungan yang kolaboratif dan transparan yang menghargai inovasi dan rasa hormat. Jelaskan saat Anda merasa tidak pada tempatnya dalam budaya tempat kerja.,QA Engineer,Culture Fit,Medium,Intermediate,Case Study,HR_Dataset,Technical Knowledge,General Engineering,2,False,"Role: QA Engineer. Stage: Case Study. Level: 2. Type: Technical Knowledge. Competency: General Engineering. Question: Describe a time you felt out of place in a workplace culture.. Ideal Answer: I thrive in collaborative, transparent environments where innovation and respect are valued. Describe a time you felt out of place in a workplace culture."
Mengapa Anda ingin bekerja di perusahaan kami?,Saya termotivasi oleh tantangan dan peluang untuk berkembang baik secara pribadi maupun profesional. Mengapa Anda ingin bekerja di perusahaan kami?,QA Engineer,Motivation,Easy,Intermediate,Opening,HR_Dataset,Technical Knowledge,General Engineering,1,False,Role: QA Engineer. Stage: Opening. Level: 1. Type: Technical Knowledge. Competency: General Engineering. Question: Why do you want to work at our company?. Ideal Answer: I'm motivated by challenges and the opportunity to grow both personally and professionally. Why do you want to work at our company?
Ceritakan tentang saat Anda membimbing seseorang.,"Saya memimpin dengan memberi contoh dan mendorong komunikasi terbuka dan akuntabilitas. Suatu kali, saya memimpin tim melalui X dan kami mencapai Y. Ceritakan kepada saya saat Anda membimbing seseorang.",QA Engineer,Leadership,Medium,Intermediate,Case Study,HR_Dataset,Leadership,General Engineering,2,False,"Role: QA Engineer. Stage: Case Study. Level: 2. Type: Leadership. Competency: General Engineering. Question: Tell me about a time you mentored someone.. Ideal Answer: I lead by example and encourage open communication and accountability. One time, I led a team through X and we achieved Y. Tell me about a time you mentored someone."
Bagaimana Anda menyelaraskan dengan nilai-nilai perusahaan kita?,Saya berkembang dalam lingkungan yang kolaboratif dan transparan yang menghargai inovasi dan rasa hormat. Bagaimana Anda menyelaraskan dengan nilai-nilai perusahaan kita?,QA Engineer,Culture Fit,Medium,Intermediate,Case Study,HR_Dataset,Technical Knowledge,General Engineering,2,False,"Role: QA Engineer. Stage: Case Study. Level: 2. Type: Technical Knowledge. Competency: General Engineering. Question: How do you align with our company values?. Ideal Answer: I thrive in collaborative, transparent environments where innovation and respect are valued. How do you align with our company values?"
Bagaimana Anda mengatur dan memprioritaskan tugas harian Anda?,Saya mengikuti alur kerja terstruktur dan menggunakan alat seperti Jira/Trello/Notion untuk mengelola tugas saya secara efisien. Bagaimana Anda mengatur dan memprioritaskan tugas harian Anda?,QA Engineer,Work Style,Easy,Intermediate,Opening,HR_Dataset,Technical Knowledge,General Engineering,1,False,Role: QA Engineer. Stage: Opening. Level: 1. Type: Technical Knowledge. Competency: General Engineering. Question: How do you organize and prioritize your daily tasks?. Ideal Answer: I follow a structured workflow and use tools like Jira/Trello/Notion to manage my tasks efficiently. How do you organize and prioritize your daily tasks?
Bagaimana Anda memastikan produktivitas saat bekerja jarak jauh?,Saya mengikuti alur kerja terstruktur dan menggunakan alat seperti Jira/Trello/Notion untuk mengelola tugas saya secara efisien. Bagaimana Anda memastikan produktivitas saat bekerja jarak jauh?,QA Engineer,Work Style,Easy,Intermediate,Case Study,HR_Dataset,Technical Knowledge,General Engineering,1,False,Role: QA Engineer. Stage: Case Study. Level: 1. Type: Technical Knowledge. Competency: General Engineering. Question: How do you ensure productivity when working remotely?. Ideal Answer: I follow a structured workflow and use tools like Jira/Trello/Notion to manage my tasks efficiently. How do you ensure productivity when working remotely?
Apakah Anda lebih suka bekerja mandiri atau dalam tim? Mengapa?,Saya mengikuti alur kerja terstruktur dan menggunakan alat seperti Jira/Trello/Notion untuk mengelola tugas saya secara efisien. Apakah Anda lebih suka bekerja mandiri atau dalam tim? Mengapa?,QA Engineer,Work Style,Easy,Intermediate,Opening,HR_Dataset,Technical Knowledge,General Engineering,1,False,Role: QA Engineer. Stage: Opening. Level: 1. Type: Technical Knowledge. Competency: General Engineering. Question: Do you prefer working independently or in teams? Why?. Ideal Answer: I follow a structured workflow and use tools like Jira/Trello/Notion to manage my tasks efficiently. Do you prefer working independently or in teams? Why?
Jelaskan hari kerja ideal Anda.,Saya mengikuti alur kerja terstruktur dan menggunakan alat seperti Jira/Trello/Notion untuk mengelola tugas saya secara efisien. Jelaskan hari kerja ideal Anda.,QA Engineer,Work Style,Easy,Intermediate,Opening,HR_Dataset,Technical Knowledge,General Engineering,1,False,Role: QA Engineer. Stage: Opening. Level: 1. Type: Technical Knowledge. Competency: General Engineering. Question: Describe your ideal workday.. Ideal Answer: I follow a structured workflow and use tools like Jira/Trello/Notion to manage my tasks efficiently. Describe your ideal workday.
Ceritakan pada saya saat Anda bekerja dengan baik dalam tim.,"Saya percaya komunikasi dan saling menghormati adalah kunci keberhasilan kolaborasi. Dalam satu proyek, kami mencapai X karena kerja tim yang hebat. Ceritakan pada saya saat Anda bekerja dengan baik dalam tim.",QA Engineer,Team Collaboration,Hard,Intermediate,Case Study,HR_Dataset,Technical Knowledge,General Engineering,3,False,"Role: QA Engineer. Stage: Case Study. Level: 3. Type: Technical Knowledge. Competency: General Engineering. Question: Tell me about a time you worked well within a team.. Ideal Answer: I believe communication and mutual respect are key to successful collaboration. In one project, we achieved X because of great teamwork. Tell me about a time you worked well within a team."
Jelaskan sebuah proyek di mana kerja tim sangat penting untuk kesuksesan.,"Saya percaya komunikasi dan saling menghormati adalah kunci keberhasilan kolaborasi. Dalam satu proyek, kami mencapai X karena kerja tim yang hebat. Jelaskan sebuah proyek di mana kerja tim sangat penting untuk kesuksesan.",QA Engineer,Team Collaboration,Medium,Intermediate,Case Study,HR_Dataset,Technical Knowledge,General Engineering,2,False,"Role: QA Engineer. Stage: Case Study. Level: 2. Type: Technical Knowledge. Competency: General Engineering. Question: Describe a project where teamwork was essential to success.. Ideal Answer: I believe communication and mutual respect are key to successful collaboration. In one project, we achieved X because of great teamwork. Describe a project where teamwork was essential to success."
Bagaimana Anda memotivasi orang lain dalam peran kepemimpinan?,"Saya memimpin dengan memberi contoh dan mendorong komunikasi terbuka dan akuntabilitas. Suatu kali, saya memimpin tim melalui X dan kami mencapai Y. Bagaimana Anda memotivasi orang lain dalam peran kepemimpinan?",QA Engineer,Leadership,Hard,Intermediate,Opening,HR_Dataset,Leadership,General Engineering,3,False,"Role: QA Engineer. Stage: Opening. Level: 3. Type: Leadership. Competency: General Engineering. Question: How do you motivate others in a leadership role?. Ideal Answer: I lead by example and encourage open communication and accountability. One time, I led a team through X and we achieved Y. How do you motivate others in a leadership role?"
